"","year","month","CGOA_prod_Ph","PhL_biom","PhS_biom","Mean_month_chloa","Mean_SD"
"1",1980,1,52.8337591012132,1.70518489925372,1.96244364998697,NA,NA
"2",1980,2,71.0186132254286,2.17596712782167,2.17490179952221,NA,NA
"3",1980,3,322.730546212731,3.23664907770292,2.19729771706688,NA,NA
"4",1980,4,330.300735096978,2.77674888238993,2.2716830636254,NA,NA
"5",1980,5,239.274111211663,2.05023397342989,2.17780240329936,NA,NA
"6",1980,6,237.597728904282,1.91726283371798,2.10466218234903,NA,NA
"7",1980,7,221.68668598272,1.80268673693729,2.01573156780806,NA,NA
"8",1980,8,186.692020405118,1.59659661814538,1.85878019737777,NA,NA
"9",1980,9,172.067212268779,1.47685060803081,1.69139077628604,NA,NA
"10",1980,10,126.031403040504,1.45709482626735,1.5455899053445,NA,NA
"11",1980,11,41.3378532814826,1.16930048454608,1.23584492839953,NA,NA
"12",1980,12,9.2524466617258,0.935642087664636,1.1214235933426,NA,NA
"13",1981,1,9.84762613410794,0.825530556182043,1.15973519697615,NA,NA
"14",1981,2,57.9398694868806,1.33999339154978,1.61913445448442,NA,NA
"15",1981,3,140.611994327426,2.0005103353606,2.246053023576,NA,NA
"16",1981,4,252.353456649269,2.35134475198279,2.38985275582412,NA,NA
"17",1981,5,172.080856622058,1.8443975704022,2.15258552680822,NA,NA
"18",1981,6,174.654987691651,1.76975900435597,2.16185623587318,NA,NA
"19",1981,7,154.691664094176,1.5613102957684,1.93940972983343,NA,NA
"20",1981,8,156.629340807657,1.45626841321347,1.72581772777825,NA,NA
"21",1981,9,115.250457806299,1.30748666311435,1.46877441038604,NA,NA
"22",1981,10,107.972490504681,1.32599889803488,1.45506095522352,NA,NA
"23",1981,11,37.2751862573633,1.05083753808204,1.08049305669563,NA,NA
"24",1981,12,5.60277891767331,0.787671115775718,0.948319494818901,NA,NA
"25",1982,1,24.7827589514342,0.927558372682515,1.23057055207992,NA,NA
"26",1982,2,86.4892135544857,1.56559781136839,1.92683226024684,NA,NA
"27",1982,3,170.025463653233,2.14507084891931,2.14531865786033,NA,NA
"28",1982,4,199.730187068343,2.00040634849397,2.07355669454693,NA,NA
"29",1982,5,187.627393348745,1.85961689068056,2.10250012396715,NA,NA
"30",1982,6,165.571619478383,1.73387929635431,1.98626305398755,NA,NA
"31",1982,7,152.102716583924,1.57258783012781,1.79096863346818,NA,NA
"32",1982,8,152.87958912101,1.50412651198549,1.65358478408846,NA,NA
"33",1982,9,155.162510356359,1.48282120907257,1.536467150267,NA,NA
"34",1982,10,125.679772025077,1.47250745426941,1.42768911569463,NA,NA
"35",1982,11,56.7629589275893,1.25023422236653,1.15427666840855,NA,NA
"36",1982,12,8.86988325547298,0.823395637660116,0.846224696831724,NA,NA
"37",1983,1,15.7019104929058,1.06788523247159,1.32658744163589,NA,NA
"38",1983,2,50.8852124926142,1.63701501363229,1.90692918961446,NA,NA
"39",1983,3,239.484669059727,2.65023913531639,2.33742975558977,NA,NA
"40",1983,4,252.749611376953,2.27317017033248,2.11886836176031,NA,NA
"41",1983,5,211.949872008894,1.89585568383555,2.18230522988029,NA,NA
"42",1983,6,182.367593939619,1.68093452362811,1.99819497033168,NA,NA
"43",1983,7,174.115641338469,1.57663704859984,1.86149955273389,NA,NA
"44",1983,8,158.984128271834,1.45236623609447,1.71058589381257,NA,NA
"45",1983,9,134.28271570838,1.29359793987243,1.53097908993573,NA,NA
"46",1983,10,134.713832161523,1.38955805233811,1.52335861961254,NA,NA
"47",1983,11,56.9656427512669,1.14446986647397,1.22058858209435,NA,NA
"48",1983,12,11.9535867457644,0.871419164969463,1.0513118500856,NA,NA
"49",1984,1,14.1850444749769,0.811885640506059,1.18156843984094,NA,NA
"50",1984,2,80.5080007482691,1.55532667458247,1.84557192285486,NA,NA
"51",1984,3,188.666096867929,2.11730091827475,2.11615935831703,NA,NA
"52",1984,4,208.280986444009,2.03342335138422,2.18220487411804,NA,NA
"53",1984,5,201.74272013037,1.83603492488112,2.25322889050829,NA,NA
"54",1984,6,167.651447559872,1.61873874566178,2.10397703978857,NA,NA
"55",1984,7,162.950775768643,1.49357940566491,1.87008500270888,NA,NA
"56",1984,8,152.628770400594,1.37566432772038,1.70065751596166,NA,NA
"57",1984,9,142.74461624168,1.32720636922481,1.55473059491605,NA,NA
"58",1984,10,104.621654462766,1.29887983911071,1.44461483619358,NA,NA
"59",1984,11,35.1274734911748,1.06933703965758,1.10899424372637,NA,NA
"60",1984,12,14.1753717961604,0.873653590176612,0.969175573036872,NA,NA
"61",1985,1,15.3955131914838,0.838271799459213,1.01387616078468,NA,NA
"62",1985,2,121.843098363145,1.60525316778689,1.83787965084405,NA,NA
"63",1985,3,176.837908724749,2.06565097188186,2.2072861000432,NA,NA
